,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year▼,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1974,NFL,St. Louis Cardinals*,10,4,0,1st of 5,Lost Div,285,218,67,Coryell,Hart,Hart,Metcalf,Gray,9,10,8,17,4,7,12,26,4.8,1.0,5.8,2.8,3.0
1973,NFL,St. Louis Cardinals,4,9,1,4th of 5,,286,365,-79,Coryell,Anderson,Hart,Anderson,Smith,11,12,23,26,18,19,25,26,-5.6,2.3,-3.3,1.8,-5.1
1972,NFL,St. Louis Cardinals,4,9,1,4th of 5,,193,303,-110,Hollway,Anderson,Cuozzo,Anderson,Gillette,23,25,18,25,23,21,24,26,-7.9,2.2,-5.7,-4.5,-1.2
1971,NFL,St. Louis Cardinals,4,9,1,4th of 5,,231,279,-48,Hollway,Wehrli,Hart,Lane,Gilliam,20,14,15,20,23,17,19,26,-3.4,-0.8,-4.2,-4.0,-0.2
1970,NFL,St. Louis Cardinals,8,5,1,3rd of 5,,325,228,97,Winner,Lane,Hart,Lane,Gilliam,4,3,5,10,11,4,5,26,6.9,0.5,7.4,3.8,3.6
1969,NFL,St. Louis Cardinals,4,9,1,3rd of 4,,314,389,-75,Winner,Gilliam,Johnson,Edwards,Gilliam,5,9,14,16,10,12,16,16,-5.4,-1.7,-7.0,0.8,-7.8
1968,NFL,St. Louis Cardinals,9,4,1,2nd of 4,,325,289,36,Winner,Wilson,Hart,Crenshaw,Smith,4,7,8,12,14,7,10,16,2.6,-0.7,1.8,1.7,0.1
1967,NFL,St. Louis Cardinals,6,7,1,3rd of 4,,333,356,-23,Winner,Smith,Hart,Roland,Smith,8,4,12,10,16,10,6,16,-1.6,-0.7,-2.4,1.4,-3.8
1966,NFL,St. Louis Cardinals,8,5,1,4th of 8,,264,265,-1,Winner,Wilson,Johnson,Roland,Smith,11,13,6,1,10,6,8,15,-0.1,-2.3,-2.3,-5.7,3.4
1965,NFL,St. Louis Cardinals,5,9,0,5th of 7,,296,309,-13,Lemm,Fischer,Johnson,Triplett,Conrad,9,6,7,9,8,8,6,14,-0.9,-6.1,-7.0,-4.6,-2.4
1964,NFL,St. Louis Cardinals,9,3,2,2nd of 7,,357,331,26,Lemm,Fischer,Johnson,Crow,Conrad,3,2,11,8,6,5,3,14,1.9,-2.5,-0.6,2.5,-3.1
1963,NFL,St. Louis Cardinals,9,5,0,3rd of 7,,341,283,58,Lemm,Johnson,Johnson,Childress,Randle,4,4,6,5,7,6,4,14,4.1,-0.1,4.0,1.2,2.8
1962,NFL,St. Louis Cardinals,4,9,1,6th of 7,,287,361,-74,Lemm,Randle,Johnson,Crow,Randle,10,3,10,9,14,11,7,14,-5.3,-2.0,-7.3,-3.7,-3.6
