,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1996,NFL,Washington Redskins,9,7,0,3rd of 5,,364,312,52,Turner,Frerotte,Frerotte,Allen,Ellard,8,9,13,28,4,8,23,30,3.3,-1.4,1.8,2.3,-0.4
1995,NFL,Washington Redskins,6,10,0,3rd of 5,,326,359,-33,Turner,Harvey,Frerotte,Allen,Ellard,18,18,21,18,6,21,18,30,-2.1,0.1,-1.9,-0.8,-1.2
1994,NFL,Washington Redskins,3,13,0,5th of 5,,320,412,-92,Turner,Ellard,Shuler,Ervins,Ellard,13,17,28,26,27,25,27,28,-5.8,-0.3,-6.1,0.3,-6.4
1993,NFL,Washington Redskins,4,12,0,5th of 5,,230,345,-115,Petitbon,Brooks,Rypien,Brooks,Sanders,25,26,23,26,14,24,28,28,-7.2,0.7,-6.5,-3.8,-2.7
1992,NFL,Washington Redskins*,9,7,0,3rd of 5,Lost Div,300,255,45,Gibbs,Marshall,Rypien,Byner,Clark,14,12,8,7,3,12,9,28,2.8,1.6,4.4,0.7,3.8
1991,NFL,Washington Redskins*,14,2,0,1st of 5,Won SB,485,224,261,Gibbs,Lachey,Rypien,Byner,Clark,1,4,2,3,1,1,1,28,16.3,0.3,16.6,11.7,4.9
1990,NFL,Washington Redskins*,10,6,0,3rd of 5,Lost Div,381,301,80,Gibbs,Lachey,Rypien,Byner,Clark,4,4,13,14,6,8,4,28,5.0,0.4,5.4,4.6,0.8
1989,NFL,Washington Redskins,10,6,0,3rd of 5,,386,308,78,Gibbs,Lachey,Rypien,Riggs,Clark,5,2,13,9,12,9,2,28,4.9,-0.9,4.0,3.8,0.2
1988,NFL,Washington Redskins,7,9,0,3rd of 5,,345,387,-42,Gibbs,May,Williams,Bryant,Sanders,10,6,26,16,28,17,8,28,-2.6,0.4,-2.2,1.2,-3.4
1987,NFL,Washington Redskins*,11,4,0,1st of 5,Won SB,379,285,94,Gibbs,Wilburn,Schroeder,Rogers,Clark,4,3,6,18,16,4,8,28,6.3,-2.5,3.8,1.8,2.0
1986,NFL,Washington Redskins*,12,4,0,2nd of 5,Lost Conf,368,296,72,Gibbs,Manley,Schroeder,Rogers,Clark,9,5,9,21,17,8,8,28,4.5,1.0,5.5,3.5,2.1
1985,NFL,Washington Redskins,10,6,0,3rd of 5,,297,312,-15,Gibbs,Grimm,Theismann,Rogers,Monk,20,14,11,3,21,17,4,28,-0.9,-1.0,-1.9,-3.4,1.5
